"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","801787",COSTA VIZZIO ALMENDRA ESTUC 60X63GR,CAJA,219.003750
"20100035121","801731",CONCENTRADO DE TOMATE 6X1KG,CAJA,72.630000
"20100035121","801695",CONCENT. ESPINACA ALBAHACA 24X110GR,CAJA,48.538571
"20100035121","801699",GALLETAS CARITAS FIESTA 14X30X11.8G,CAJA,103.111286
"20100035121","801349",MOLITALIA RIGATONI 20X235 GR,BOLSA,25.855909
"20100035121","801393",GOMAS AMBROLIPTOS 20X480 GR.,CAJA,132.338000
"20100035121","801316",MIMASKOT GATOS ARENA GATOS 20KG,BOLSA,30.846200
"20100035121","801700",CONCENTRADO DE TOMATE 24X110GR,CAJA,28.260909
"20100035121","801800",MIMASKOT ADULTOS MIX DE SABOR 4X3KG,BOLSA,80.905667
"20100035121","801738",MIMASKOT GATOS SALMON ATUN 13 KG,SACO,102.335000
"20100035121","801701",SALSA CASERA HONGOS LAUREL 24X170GR,CAJA,44.068333
"20100035121","801702",GOMAS AMBROSITOS ACIDOS 12X90GR,CAJA,19.315000
"20100035121","801356",MOLITALIA CODO MED RAY 20X235 GR,BOLSA,25.740000
"20100035121","801663",GOMAS GUSANOS ACIDOS GRANEL20X480GR,CAJA,132.666667
"20100035121","801327",MIMASKOT GATOS SNACK PESC. 15X60GR,CAJA,94.676667
"20100035121","801704",GOMAS FRERICAS 12X90GR,CAJA,19.314571
"20100035121","801802",MIMASKOT ADULTOS MIX DE SABOR 20KG,BOLSA,123.482500
"20100035121","801740",KEKITOS TODINNO BIPACK 12X55GR,CAJA,21.218889
"20100035121","801712",MOLITALIA CORBATITA 20X225 GR,BOLSA,25.740000
"20100035121","801733",MIMASKOT CARNES 22KG,BOLSA,132.560000
"20100035121","801373",VIZZIO GRAGEA MANI 10X10X21GR,CAJA,104.490000
"20100035121","801708",FANNY GRATED ATUN EN ACEITE 48X140 GR,CAJA,161.143333
"20100035121","801341",MARCO POLO CANUTO CHICO 20X235 GR,BOLSA,18.967778
"20100035121","801759",MENTITAS 6X24X19GR.,CAJA,72.902000
"20100035121","801808",MIMASKOT GATOS ESTERILIZADOS 6X1KG,BOLSA,49.430000
"20100035121","801788",VIZZIO GRAGEA ALMENDRA 10X10X19.2GR,CAJA,105.571800
"20100035121","801717",HUEVO VIZZIO MANI 24X88 GR.,CAJA,207.570000
"20100035121","801750",CHOCMAN SIXPACK 14X6X33.5 GR,CAJA,50.202133
"20100035121","801382",COSTA WENAZAS 20X50.4GR,CAJA,19.982500
"20100035121","801735",MIMASKOT CACHORROS RZ MED-GRAN 22KG,BOLSA,132.560000
"20100035121","801355",MOLITALIA MACARRON 20X235 GR,BOLSA,25.860000
"20100035121","801772",GALLETA CARITAS 16X6X44.5 GR,CAJA,67.794846
"20100035121","801815",NUTRICAN NUTRICION TOTAL CCH 15KG,BOLSA,68.795714
"20100035121","801789",VIZZIO GRAGEA ALMENDRA 10X20X19.2GR,CAJA,211.087143
"20100035121","801785",AVENA CLASICA 2V 24X110 GR.,BOLSA,20.555125
"20100035121","801784",AVENA CANELA Y CLAVO 2V 24X110 GR,BOLSA,21.319500
"20100035121","801397",CHUPETE FLIPPY 16X24X16GR,CAJA,73.440000
"20100035121","801770",ZEUS ADULTOS BILAM 25KG,SACO,91.384286
"20100035121","801389",SALSA A LA BOLOGNESA 24X170GR.,CAJA,53.327500
"20100035121","801776",AMBRUJOS GOMAS FRUGELE 27X241GR,CAJA,128.906667
"20100035121","801833",VIZZIO  ALMENDRA 10X10X32GR,CAJA,168.170000
"20100035121","801845",ZEUS ADULTOS NUEVO 25KG,BOLSA,92.778200
"20100035121","801814",NUTRICAN NUTRICION TOTAL CCH 8X2KG,BOLSA,80.320000
"20100035121","801806",MIMASKOT GATOS MIX DE SABORES  9KG,BOLSA,72.296250
"20100035121","801475",VIZZIO TABLETA ALMENDRA 10X10X26GR,CAJA,131.066667
"20100035121","801773",TRIFUNA MINIONS HALLOWEEN 8X348GR,CAJA,55.216667
"20100035121","801477",CHUPETIN COLORADO TUTTI 16X24X17GR,CAJA,85.400000
"20100035121","801777",CARAMELOS HECHIZOS COLAS 20X308GR.,CAJA,102.143333
"20100035121","801893",NVO MIMASKOT CACHORROS RMG 4X3KG,BOLSA,80.900000
"20100035121","801851",CEREALBAR MINI MIX 8X25X11GR,CAJA,61.070000
"20100035121","801817",NUTRICAN NUTRICION TOTAL AD 8X2KG,BOLSA,74.702353
"20100035121","801811",MIMASKOT GATOS ESTERILIZADOS 13KG,BOLSA,102.333200
"20100035121","801498",GOMAS CERDITOS 24X70 GR.,CAJA,38.630000
"20100035121","801774",AMBRUJOS CARAMELOS 25X249.6 GR,CAJA,127.480000
"20100035121","801499",GOMAS DONAS 24X70GR,CAJA,38.630000
"20100035121","801780",PACK TERROR 30X249.5GR,CAJA,220.203333
"20100035121","801896",NVO MIMASKOT CACHORROS RMG 22KG,BOLSA,133.060000
"20100035121","801864",PANETON TODINNO CHOCOTINNO 6X450GR.,CAJA,107.463333
"20100035121","801823",GOMAS AMBROSITO ACIDO 16X12X25 GR,CAJA,100.828000
"20100035121","801844",ZEUS ADULTOS NUEVO 18KG,SACO,67.801818
"20100035121","801598",GALLETA INTEGRALES 20X6X37GR,CAJA,62.522500
"20100035121","801801",MIMASKOT ADULTOS MIX DE SABOR 15KG,BOLSA,94.588333
"20100035121","801662",GOMAS GUSANOS GRANEL 20X480 GR,CAJA,132.670000
"20100035121","801783",AVENA CLASICA 24X110 GR.    ,BOLSA,20.830107
"20100035121","801906",NVO MIMASKOT CORDERO RMG 6X1KG,BOLSA,40.643250
"20100035121","801873",MOLITALIA TALLARIN 12X950GR,BOLSA,58.342857
"20100035121","801826",HUEVO CHOCMAN 12X125.5 GR,CAJA,125.740000
"20100035121","801847",ZEUS CACHORROS NUEVO 25KG,BOLSA,96.473143
"20100035121","801696",VIZZIO GRAGEA MIX 12X122GR,CAJA,89.975000
"20100035121","801810",MIMASKOT GATOS ESTERILIZADOS 9KG,BOLSA,72.296250
"20100035121","801705",MINI CEREAL BAR GOLDEN 12X24X11 GR,CAJA,83.250000
