"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789","02511488","","","017-GANCHERA BEB CHOCOLISTO 2019",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1060800,"","","017-BONIF. BEB. ZUKO PERU 2L CHICHA MORADA 15G",UNIDAD,1.0000,1.0000,1.4400000000000000000,1.4400,
"20514584789","04022933","","","017-BANNER DE REJA ZUKO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01043953","","","017-GRANUTS CHOCOLATE CON PASAS 12DYPX120G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","99999001","","","017-POLO MLARGA MONTERREY",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1058350,"","","017-BONI (UND) GLINA. CHIN CHIN BOL CN NI 16G",UNIDAD,1.0000,1.0000,0.0200000000000000000,0.0160,
"20514584789",B1058230,"","","017-BONI (UND) GTA. PICARAS MENTA 40G",UNIDAD,1.0000,1.0000,0.0400000000000000000,0.0400,
"20514584789","04023109","","","017-CINTAS DE EMBALAJE OLE OLE",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01042787","","","017-GLINA. MONTBLANC BAR ALMENDRAS44%30U190G",CAJA,30.0000,30.0000,0.0000000000000000000,0.0000,
"20514584789","01031232","","","017-GLINA. CHIN CHIN MIX PACK 30PKX4UX20G",CAJA,30.0000,30.0000,0.0000000000000000000,0.0000,
"20514584789",B9999998,"","","017-GORRA PICARAS CLASICA",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01051754","","","017-CAFE COLCAFE GRANUL GRANEL 2.500X1.5GR INT",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01029020","","","017-CHOC. TAZA WINTERS 12DX10UX90G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","01028944","","","017-FOCHIS MANI BOLSA 36BSX70G",CAJA,36.0000,36.0000,0.0000000000000000000,0.0000,
"20514584789","04024091","","","017-GORRO PUBLICIT GLSINA CHINCHIN",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01040796","","","017-COB. CORDILLERA BITTER 10UNDX1KG",CAJA,10.0000,10.0000,0.0000000000000000000,0.0000,
"20514584789","04024751","","","017-EXHIBIDOR KRYSPO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04026152","","","017-POLO FFVV XL GRANOS ANDINOS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01031868","","","017-GLINA. CHIN CHIN GRAG 24DPSX10UNDX50",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,
"20514584789","01078687","","","017-GTA. CHIN CHIN EMOTI 11BOLX40UNDX8.7GR",CAJA,11.0000,11.0000,0.0400000000000000000,0.4400,
"20514584789","01035746","","","017-GLINA.OLE OLE 12RISX6UX31.5G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","04019058","","","017-CANGURO GRANUTS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1072353,"","","017-BONIF (UND) PICARAS CLASICAS X38GR",UNIDAD,1.0000,1.0000,0.0400000000000000000,0.0380,
"20514584789","01052404","","","017-GTA. PICARAS MINI EXTREMA 14RISX6U",RISTRA,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1063068,"","","017-BONI.(UND) GTA PICARAS FRESA NL CORAZON 40GR",UNIDAD,1.0000,1.0000,0.0400000000000000000,0.0400,
"20514584789","01044069","","","017-GRANUTS CHOCOLATE CON PIÑA 12DSPX12UX40G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","01032858","","","017-GLINA. MONTBLANC BAR LECHE 44% 90G",CAJA,40.0000,40.0000,0.0000000000000000000,0.0000,
"20514584789","01033685","","","017-GLINA. FOCHIS MANI 18DPX12UX28G",CAJA,18.0000,18.0000,0.0000000000000000000,0.0000,
"20514584789","91056630","","","017-BONIF. COCOA WINTERS NI 21G (UND)",UNIDAD,1.0000,1.0000,0.0200000000000000000,0.0210,
"20514584789","01031308","","","017-CHIPS CHOCOLATE BLANCO 1 KG/10BOL IN",CAJA,10.0000,10.0000,0.0000000000000000000,0.0000,
"20514584789","04023445","","","017-PE TARJETA AGRAD. PANETON WINTERS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1052770,"","","017-BONIF_ GTA. PICARAS MINI EXTREMA UND X 46GR",UNIDAD,1.0000,1.0000,0.0500000000000000000,0.0460,
"20514584789","91016065","","","017-BONIF TABLETA PARA TAZA TRADICIONAL WINTERS 80G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04021277","","","017-CINTA ADEHESIVA PANETON",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B9999996,"","","013-CUADERNO 100 HOJAS CHOCOLISTO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01036209","","","017-CHINCHINPATICREMA BOLSA 24X4X19GEXP",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,
"20514584789",B1060742,"","","017-BONI UND CF. MONTERREY PERU SACHET 6G",UNIDAD,1.0000,1.0000,0.3000000000000000000,0.3000,
"20514584789","01025663","","","017-GLINA.CHINCHIN CAJ 24DPX16UX30G",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,
"20514584789",B1049607,"","","017-BONIF. GRANUTS ARANDAMIX UNIDAD X 25GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04023676","","","017-PE COLGANTES DUCALES",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
